city,income_group,group_fraction,district_mpce_monthly,group_mpce_mean,group_mpce_std,group_cv,annual_income_mean,annual_income_std,lognorm_mean,lognorm_sigma
Bengaluru,extreme_poor,0.0085,3078.96,1170.0,292.5,0.25,60372.0,15093.0,10.978,0.2462
Bengaluru,bpl_poor,0.4218,3078.96,2216.85,665.06,0.3,114390.0,34317.0,11.6043,0.2936
Bengaluru,non_poor,0.5698,3078.96,5696.08,3132.84,0.55,293918.0,161655.0,12.4589,0.5141
Belagavi,extreme_poor,0.0085,1329.5,505.21,126.3,0.25,26069.0,6517.0,10.1382,0.2462
Belagavi,bpl_poor,0.4218,1329.5,957.24,287.17,0.3,49394.0,14818.0,10.7645,0.2936
Belagavi,non_poor,0.5698,1329.5,2459.58,1352.77,0.55,126914.0,69803.0,11.6191,0.5141
Mangaluru,extreme_poor,0.0085,2038.1,774.48,193.62,0.25,39963.0,9991.0,10.5654,0.2462
Mangaluru,bpl_poor,0.4218,2038.1,1467.43,440.23,0.3,75719.0,22716.0,11.1917,0.2936
Mangaluru,non_poor,0.5698,2038.1,3770.49,2073.77,0.55,194557.0,107006.0,12.0463,0.5141
Hubballi-Dharwad,extreme_poor,0.0085,1528.36,580.78,145.19,0.25,29968.0,7492.0,10.2776,0.2462
Hubballi-Dharwad,bpl_poor,0.4218,1528.36,1100.42,330.13,0.3,56782.0,17034.0,10.9039,0.2936
Hubballi-Dharwad,non_poor,0.5698,1528.36,2827.47,1555.11,0.55,145897.0,80243.0,11.7585,0.5141
Mysuru,extreme_poor,0.0085,1950.97,741.37,185.34,0.25,38255.0,9564.0,10.5217,0.2462
Mysuru,bpl_poor,0.4218,1950.97,1404.7,421.41,0.3,72482.0,21745.0,11.148,0.2936
Mysuru,non_poor,0.5698,1950.97,3609.29,1985.11,0.55,186240.0,102432.0,12.0026,0.5141
