city,population,households,actual_demand_mld,required_mld_135lpcd,base_deficit_ratio,month,month_name,season,seasonal_multiplier,effective_mld,monthly_litres,per_capita_lpcd,water_per_hh_lpd,meets_135lpcd_standard
Bengaluru,8443675,2101831,1294,1139.896,1.1352,1,Jan,Winter,1.0,1294.0,38820000000,153.3,615.7,True
Bengaluru,8443675,2101831,1294,1139.896,1.1352,2,Feb,Winter,1.0,1294.0,38820000000,153.3,615.7,True
Bengaluru,8443675,2101831,1294,1139.896,1.1352,3,Mar,Summer,0.7,905.8,27174000000,107.3,431.0,False
Bengaluru,8443675,2101831,1294,1139.896,1.1352,4,Apr,Summer,0.7,905.8,27174000000,107.3,431.0,False
Bengaluru,8443675,2101831,1294,1139.896,1.1352,5,May,Summer,0.7,905.8,27174000000,107.3,431.0,False
Bengaluru,8443675,2101831,1294,1139.896,1.1352,6,Jun,Monsoon,1.15,1488.1,44643000000,176.2,708.0,True
Bengaluru,8443675,2101831,1294,1139.896,1.1352,7,Jul,Monsoon,1.15,1488.1,44643000000,176.2,708.0,True
Bengaluru,8443675,2101831,1294,1139.896,1.1352,8,Aug,Monsoon,1.15,1488.1,44643000000,176.2,708.0,True
Bengaluru,8443675,2101831,1294,1139.896,1.1352,9,Sep,Monsoon,1.15,1488.1,44643000000,176.2,708.0,True
Bengaluru,8443675,2101831,1294,1139.896,1.1352,10,Oct,Post-Monsoon,0.9,1164.6,34938000000,137.9,554.1,True
Bengaluru,8443675,2101831,1294,1139.896,1.1352,11,Nov,Post-Monsoon,0.9,1164.6,34938000000,137.9,554.1,True
Bengaluru,8443675,2101831,1294,1139.896,1.1352,12,Dec,Post-Monsoon,0.9,1164.6,34938000000,137.9,554.1,True
Mysuru,893062,209650,120,120.563,0.9953,1,Jan,Winter,1.0,120.0,3600000000,134.4,572.4,False
Mysuru,893062,209650,120,120.563,0.9953,2,Feb,Winter,1.0,120.0,3600000000,134.4,572.4,False
Mysuru,893062,209650,120,120.563,0.9953,3,Mar,Summer,0.75,90.0,2700000000,100.8,429.3,False
Mysuru,893062,209650,120,120.563,0.9953,4,Apr,Summer,0.75,90.0,2700000000,100.8,429.3,False
Mysuru,893062,209650,120,120.563,0.9953,5,May,Summer,0.75,90.0,2700000000,100.8,429.3,False
Mysuru,893062,209650,120,120.563,0.9953,6,Jun,Monsoon,1.12,134.4,4032000000,150.5,641.1,True
Mysuru,893062,209650,120,120.563,0.9953,7,Jul,Monsoon,1.12,134.4,4032000000,150.5,641.1,True
Mysuru,893062,209650,120,120.563,0.9953,8,Aug,Monsoon,1.12,134.4,4032000000,150.5,641.1,True
Mysuru,893062,209650,120,120.563,0.9953,9,Sep,Monsoon,1.12,134.4,4032000000,150.5,641.1,True
Mysuru,893062,209650,120,120.563,0.9953,10,Oct,Post-Monsoon,0.92,110.4,3312000000,123.6,526.6,False
Mysuru,893062,209650,120,120.563,0.9953,11,Nov,Post-Monsoon,0.92,110.4,3312000000,123.6,526.6,False
Mysuru,893062,209650,120,120.563,0.9953,12,Dec,Post-Monsoon,0.92,110.4,3312000000,123.6,526.6,False
Mangaluru,488968,112444,84,66.011,1.2725,1,Jan,Winter,1.0,84.0,2520000000,171.8,747.0,True
Mangaluru,488968,112444,84,66.011,1.2725,2,Feb,Winter,1.0,84.0,2520000000,171.8,747.0,True
Mangaluru,488968,112444,84,66.011,1.2725,3,Mar,Summer,0.85,71.4,2142000000,146.0,635.0,True
Mangaluru,488968,112444,84,66.011,1.2725,4,Apr,Summer,0.85,71.4,2142000000,146.0,635.0,True
Mangaluru,488968,112444,84,66.011,1.2725,5,May,Summer,0.85,71.4,2142000000,146.0,635.0,True
Mangaluru,488968,112444,84,66.011,1.2725,6,Jun,Monsoon,1.35,113.4,3402000000,231.9,1008.5,True
Mangaluru,488968,112444,84,66.011,1.2725,7,Jul,Monsoon,1.35,113.4,3402000000,231.9,1008.5,True
Mangaluru,488968,112444,84,66.011,1.2725,8,Aug,Monsoon,1.35,113.4,3402000000,231.9,1008.5,True
Mangaluru,488968,112444,84,66.011,1.2725,9,Sep,Monsoon,1.35,113.4,3402000000,231.9,1008.5,True
Mangaluru,488968,112444,84,66.011,1.2725,10,Oct,Post-Monsoon,0.95,79.8,2394000000,163.2,709.7,True
Mangaluru,488968,112444,84,66.011,1.2725,11,Nov,Post-Monsoon,0.95,79.8,2394000000,163.2,709.7,True
Mangaluru,488968,112444,84,66.011,1.2725,12,Dec,Post-Monsoon,0.95,79.8,2394000000,163.2,709.7,True
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,1,Jan,Winter,1.0,127.0,3810000000,134.6,633.7,False
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,2,Feb,Winter,1.0,127.0,3810000000,134.6,633.7,False
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,3,Mar,Summer,0.55,69.85,2095500000,74.0,348.5,False
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,4,Apr,Summer,0.55,69.85,2095500000,74.0,348.5,False
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,5,May,Summer,0.55,69.85,2095500000,74.0,348.5,False
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,6,Jun,Monsoon,1.1,139.7,4191000000,148.0,697.0,True
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,7,Jul,Monsoon,1.1,139.7,4191000000,148.0,697.0,True
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,8,Aug,Monsoon,1.1,139.7,4191000000,148.0,697.0,True
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,9,Sep,Monsoon,1.1,139.7,4191000000,148.0,697.0,True
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,10,Oct,Post-Monsoon,0.85,107.95,3238500000,114.4,538.6,False
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,11,Nov,Post-Monsoon,0.85,107.95,3238500000,114.4,538.6,False
Hubballi-Dharwad,943788,200418,127,127.411,0.9968,12,Dec,Post-Monsoon,0.85,107.95,3238500000,114.4,538.6,False
Belagavi,488157,111436,82,65.901,1.2443,1,Jan,Winter,1.0,82.0,2460000000,168.0,735.8,True
Belagavi,488157,111436,82,65.901,1.2443,2,Feb,Winter,1.0,82.0,2460000000,168.0,735.8,True
Belagavi,488157,111436,82,65.901,1.2443,3,Mar,Summer,0.55,45.1,1353000000,92.4,404.7,False
Belagavi,488157,111436,82,65.901,1.2443,4,Apr,Summer,0.55,45.1,1353000000,92.4,404.7,False
Belagavi,488157,111436,82,65.901,1.2443,5,May,Summer,0.55,45.1,1353000000,92.4,404.7,False
Belagavi,488157,111436,82,65.901,1.2443,6,Jun,Monsoon,1.3,106.6,3198000000,218.4,956.6,True
Belagavi,488157,111436,82,65.901,1.2443,7,Jul,Monsoon,1.3,106.6,3198000000,218.4,956.6,True
Belagavi,488157,111436,82,65.901,1.2443,8,Aug,Monsoon,1.3,106.6,3198000000,218.4,956.6,True
Belagavi,488157,111436,82,65.901,1.2443,9,Sep,Monsoon,1.3,106.6,3198000000,218.4,956.6,True
Belagavi,488157,111436,82,65.901,1.2443,10,Oct,Post-Monsoon,0.88,72.16,2164800000,147.8,647.5,True
Belagavi,488157,111436,82,65.901,1.2443,11,Nov,Post-Monsoon,0.88,72.16,2164800000,147.8,647.5,True
