step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
1,1,1,0.819,0.0144,0.5977,0.6927,[],Bengaluru,exp2_flood
2,2,1,0.8206,0.0069,0.604,0.6853,[],Bengaluru,exp2_flood
3,3,1,0.7934,0.0068,0.5129,0.6673,[],Bengaluru,exp2_flood
4,4,1,0.7851,0.0145,0.5074,0.6478,[],Bengaluru,exp2_flood
5,5,1,0.7793,0.0166,0.5058,0.628,[],Bengaluru,exp2_flood
6,6,1,0.8087,0.0226,0.6354,0.6222,[],Bengaluru,exp2_flood
7,7,1,0.7751,0.0229,0.6599,0.4638,['flood'],Bengaluru,exp2_flood
8,8,1,0.7741,0.0237,0.6652,0.4551,['flood'],Bengaluru,exp2_flood
9,9,1,0.7765,0.0197,0.678,0.4479,['flood'],Bengaluru,exp2_flood
10,10,1,0.7512,0.0042,0.5754,0.4339,[],Bengaluru,exp2_flood
11,11,1,0.7463,0.0041,0.5713,0.4183,[],Bengaluru,exp2_flood
12,12,1,0.7415,0.005,0.5696,0.4015,[],Bengaluru,exp2_flood
13,1,2,0.7415,0.0123,0.5929,0.3855,[],Bengaluru,exp2_flood
14,2,2,0.741,0.0048,0.5985,0.3704,[],Bengaluru,exp2_flood
15,3,2,0.7117,0.0045,0.5078,0.3435,[],Bengaluru,exp2_flood
16,4,2,0.7007,0.012,0.5015,0.3133,[],Bengaluru,exp2_flood
17,5,2,0.6913,0.0141,0.4991,0.2805,[],Bengaluru,exp2_flood
18,6,2,0.7161,0.02,0.6256,0.2593,[],Bengaluru,exp2_flood
19,7,2,0.6781,0.0204,0.6489,0.0842,['flood'],Bengaluru,exp2_flood
20,8,2,0.6713,0.022,0.6497,0.0579,['flood'],Bengaluru,exp2_flood
21,9,2,0.6698,0.0186,0.6613,0.0366,['flood'],Bengaluru,exp2_flood
22,10,2,0.644,0.0035,0.5603,0.0195,[],Bengaluru,exp2_flood
23,11,2,0.6399,0.0046,0.5565,0.0082,[],Bengaluru,exp2_flood
24,12,2,0.6378,0.0062,0.5552,0.0025,[],Bengaluru,exp2_flood
1,1,1,0.9159,0.0087,0.9271,0.7452,[],Mysuru,exp2_flood
2,2,1,0.9268,0.0087,0.9271,0.7887,[],Mysuru,exp2_flood
3,3,1,0.8915,0.0086,0.7717,0.8031,[],Mysuru,exp2_flood
4,4,1,0.8951,0.0086,0.7717,0.8175,[],Mysuru,exp2_flood
5,5,1,0.8987,0.0086,0.7717,0.8319,[],Mysuru,exp2_flood
6,6,1,0.9593,0.0087,0.9708,0.8753,[],Mysuru,exp2_flood
7,7,1,0.9573,0.0032,0.9916,0.8417,['flood'],Mysuru,exp2_flood
8,8,1,0.9673,0.0032,0.9916,0.8819,['flood'],Mysuru,exp2_flood
9,9,1,0.9685,0.0087,0.9708,0.9128,['flood'],Mysuru,exp2_flood
10,10,1,0.9504,0.0087,0.8774,0.9336,[],Mysuru,exp2_flood
11,11,1,0.9553,0.0087,0.8774,0.9523,[],Mysuru,exp2_flood
12,12,1,0.9595,0.0087,0.8774,0.9695,[],Mysuru,exp2_flood
13,1,2,0.9761,0.0087,0.9271,0.986,[],Mysuru,exp2_flood
14,2,2,0.9786,0.0087,0.9271,0.9959,[],Mysuru,exp2_flood
15,3,2,0.9393,0.0086,0.7717,0.9942,[],Mysuru,exp2_flood
16,4,2,0.9389,0.0086,0.7717,0.9928,[],Mysuru,exp2_flood
17,5,2,0.9386,0.0086,0.7717,0.9915,[],Mysuru,exp2_flood
18,6,2,0.9901,0.0087,0.9708,0.9987,[],Mysuru,exp2_flood
19,7,2,0.9879,0.0032,0.9916,0.9638,['flood'],Mysuru,exp2_flood
20,8,2,0.9937,0.0032,0.9916,0.9869,['flood'],Mysuru,exp2_flood
21,9,2,0.9899,0.0087,0.9708,0.9983,['flood'],Mysuru,exp2_flood
22,10,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp2_flood
23,11,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp2_flood
24,12,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp2_flood
1,1,1,0.9246,0.0095,0.97,0.7377,[],Mangaluru,exp2_flood
2,2,1,0.9335,0.0093,0.9697,0.7736,[],Mangaluru,exp2_flood
3,3,1,0.9408,0.0094,0.9633,0.8092,[],Mangaluru,exp2_flood
4,4,1,0.949,0.007,0.9599,0.8434,[],Mangaluru,exp2_flood
5,5,1,0.9558,0.0051,0.9572,0.8713,[],Mangaluru,exp2_flood
6,6,1,0.9615,0.004,0.9587,0.8915,[],Mangaluru,exp2_flood
7,7,1,0.9155,0.0201,0.9611,0.7208,['flood'],Mangaluru,exp2_flood
8,8,1,0.9266,0.0141,0.9692,0.7517,['flood'],Mangaluru,exp2_flood
9,9,1,0.9372,0.0098,0.9751,0.7837,['flood'],Mangaluru,exp2_flood
10,10,1,0.9513,0.004,0.9909,0.8188,['flood'],Mangaluru,exp2_flood
11,11,1,0.9519,0.0092,0.9702,0.8468,[],Mangaluru,exp2_flood
12,12,1,0.9571,0.0092,0.9702,0.8677,[],Mangaluru,exp2_flood
13,1,2,0.9613,0.0095,0.97,0.8848,[],Mangaluru,exp2_flood
14,2,2,0.9651,0.0093,0.9697,0.9002,[],Mangaluru,exp2_flood
15,3,2,0.967,0.0094,0.9633,0.914,[],Mangaluru,exp2_flood
16,4,2,0.9699,0.007,0.9599,0.9266,[],Mangaluru,exp2_flood
17,5,2,0.9726,0.0051,0.9572,0.9382,[],Mangaluru,exp2_flood
18,6,2,0.9759,0.004,0.9587,0.9491,[],Mangaluru,exp2_flood
19,7,2,0.9299,0.0201,0.9611,0.7784,['flood'],Mangaluru,exp2_flood
20,8,2,0.941,0.0141,0.9692,0.8092,['flood'],Mangaluru,exp2_flood
21,9,2,0.9515,0.0098,0.9751,0.8411,['flood'],Mangaluru,exp2_flood
22,10,2,0.9646,0.004,0.9909,0.8719,['flood'],Mangaluru,exp2_flood
23,11,2,0.9632,0.0092,0.9702,0.8922,[],Mangaluru,exp2_flood
24,12,2,0.967,0.0092,0.9702,0.9073,[],Mangaluru,exp2_flood
1,1,1,0.9275,0.0087,0.9708,0.748,[],Hubballi-Dharwad,exp2_flood
2,2,1,0.9391,0.0087,0.9708,0.7942,[],Hubballi-Dharwad,exp2_flood
3,3,1,0.8922,0.0086,0.7689,0.8083,[],Hubballi-Dharwad,exp2_flood
4,4,1,0.8956,0.0086,0.7689,0.8224,[],Hubballi-Dharwad,exp2_flood
5,5,1,0.8991,0.0086,0.7689,0.8365,[],Hubballi-Dharwad,exp2_flood
6,6,1,0.9602,0.0087,0.9708,0.8792,[],Hubballi-Dharwad,exp2_flood
7,7,1,0.9408,0.0032,0.9915,0.7756,['flood'],Hubballi-Dharwad,exp2_flood
8,8,1,0.9524,0.0032,0.9915,0.822,['flood'],Hubballi-Dharwad,exp2_flood
9,9,1,0.963,0.0032,0.9915,0.8645,['flood'],Hubballi-Dharwad,exp2_flood
10,10,1,0.9649,0.0087,0.9708,0.8982,[],Hubballi-Dharwad,exp2_flood
11,11,1,0.9716,0.0087,0.9708,0.9246,[],Hubballi-Dharwad,exp2_flood
12,12,1,0.9774,0.0087,0.9708,0.9476,[],Hubballi-Dharwad,exp2_flood
13,1,2,0.9826,0.0087,0.9708,0.9685,[],Hubballi-Dharwad,exp2_flood
14,2,2,0.9871,0.0087,0.9708,0.9862,[],Hubballi-Dharwad,exp2_flood
15,3,2,0.9363,0.0086,0.7689,0.9851,[],Hubballi-Dharwad,exp2_flood
16,4,2,0.936,0.0086,0.7689,0.984,[],Hubballi-Dharwad,exp2_flood
17,5,2,0.9357,0.0086,0.7689,0.983,[],Hubballi-Dharwad,exp2_flood
18,6,2,0.9894,0.0087,0.9708,0.9963,[],Hubballi-Dharwad,exp2_flood
19,7,2,0.97,0.0032,0.9915,0.8924,['flood'],Hubballi-Dharwad,exp2_flood
20,8,2,0.9812,0.0032,0.9915,0.9371,['flood'],Hubballi-Dharwad,exp2_flood
21,9,2,0.9879,0.0032,0.9915,0.9638,['flood'],Hubballi-Dharwad,exp2_flood
22,10,2,0.9865,0.0087,0.9708,0.9841,[],Hubballi-Dharwad,exp2_flood
23,11,2,0.9898,0.0087,0.9708,0.9974,[],Hubballi-Dharwad,exp2_flood
24,12,2,0.9903,0.0087,0.9708,0.9993,[],Hubballi-Dharwad,exp2_flood
1,1,1,0.9275,0.0087,0.9708,0.748,[],Belagavi,exp2_flood
2,2,1,0.9391,0.0087,0.9708,0.7943,[],Belagavi,exp2_flood
3,3,1,0.9506,0.0087,0.9708,0.8405,[],Belagavi,exp2_flood
4,4,1,0.9618,0.0087,0.9708,0.8853,[],Belagavi,exp2_flood
5,5,1,0.9707,0.0087,0.9708,0.921,[],Belagavi,exp2_flood
6,6,1,0.9771,0.0087,0.9708,0.9464,[],Belagavi,exp2_flood
7,7,1,0.9702,0.0032,0.9916,0.8927,['flood'],Belagavi,exp2_flood
8,8,1,0.9795,0.0032,0.9916,0.9296,['flood'],Belagavi,exp2_flood
9,9,1,0.9853,0.0032,0.9916,0.9529,['flood'],Belagavi,exp2_flood
10,10,1,0.9839,0.0087,0.9708,0.9736,[],Belagavi,exp2_flood
11,11,1,0.9882,0.0087,0.9708,0.9908,[],Belagavi,exp2_flood
12,12,1,0.9901,0.0087,0.9708,0.9983,[],Belagavi,exp2_flood
13,1,2,0.9904,0.0087,0.9708,0.9994,[],Belagavi,exp2_flood
14,2,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp2_flood
15,3,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp2_flood
16,4,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp2_flood
17,5,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp2_flood
18,6,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp2_flood
19,7,2,0.9835,0.0032,0.9916,0.9456,['flood'],Belagavi,exp2_flood
20,8,2,0.9909,0.0032,0.9916,0.9751,['flood'],Belagavi,exp2_flood
21,9,2,0.9957,0.0032,0.9916,0.9945,['flood'],Belagavi,exp2_flood
22,10,2,0.9903,0.0087,0.9708,0.9991,[],Belagavi,exp2_flood
23,11,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp2_flood
24,12,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp2_flood
