step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
1,1,1,0.819,0.0144,0.5977,0.6927,[],Bengaluru,exp3_drought
2,2,1,0.8206,0.0069,0.604,0.6853,[],Bengaluru,exp3_drought
3,3,1,0.7483,0.0125,0.4939,0.5121,['drought'],Bengaluru,exp3_drought
4,4,1,0.7403,0.0192,0.494,0.4875,['drought'],Bengaluru,exp3_drought
5,5,1,0.7362,0.0197,0.5033,0.4628,['drought'],Bengaluru,exp3_drought
6,6,1,0.768,0.0238,0.6453,0.4518,['drought'],Bengaluru,exp3_drought
7,7,1,0.7723,0.0191,0.6661,0.4432,['drought'],Bengaluru,exp3_drought
8,8,1,0.7609,0.0213,0.6322,0.4328,[],Bengaluru,exp3_drought
9,9,1,0.7593,0.0187,0.6339,0.4223,[],Bengaluru,exp3_drought
10,10,1,0.7442,0.0043,0.5745,0.4069,[],Bengaluru,exp3_drought
11,11,1,0.739,0.0039,0.5704,0.3896,[],Bengaluru,exp3_drought
12,12,1,0.7337,0.0048,0.5686,0.371,[],Bengaluru,exp3_drought
13,1,2,0.7331,0.0121,0.5918,0.353,[],Bengaluru,exp3_drought
14,2,2,0.732,0.0046,0.5973,0.3356,[],Bengaluru,exp3_drought
15,3,2,0.6549,0.0102,0.4879,0.142,['drought'],Bengaluru,exp3_drought
16,4,2,0.6403,0.0167,0.4827,0.0963,['drought'],Bengaluru,exp3_drought
17,5,2,0.6323,0.0176,0.4911,0.0575,['drought'],Bengaluru,exp3_drought
18,6,2,0.6597,0.0222,0.6292,0.0337,['drought'],Bengaluru,exp3_drought
19,7,2,0.6616,0.0182,0.6489,0.0171,['drought'],Bengaluru,exp3_drought
20,8,2,0.6503,0.0208,0.6158,0.0063,[],Bengaluru,exp3_drought
21,9,2,0.65,0.0188,0.6174,0.0015,[],Bengaluru,exp3_drought
22,10,2,0.6389,0.0037,0.5592,0.0002,[],Bengaluru,exp3_drought
23,11,2,0.6377,0.0051,0.5559,0.0,[],Bengaluru,exp3_drought
24,12,2,0.6371,0.0064,0.5549,0.0,[],Bengaluru,exp3_drought
1,1,1,0.9159,0.0087,0.9271,0.7452,[],Mysuru,exp3_drought
2,2,1,0.9268,0.0087,0.9271,0.7887,[],Mysuru,exp3_drought
3,3,1,0.8656,0.0085,0.7717,0.6994,['drought'],Mysuru,exp3_drought
4,4,1,0.8742,0.0085,0.79,0.7161,['drought'],Mysuru,exp3_drought
5,5,1,0.8842,0.0085,0.8082,0.738,['drought'],Mysuru,exp3_drought
6,6,1,0.943,0.0032,0.9916,0.7844,['drought'],Mysuru,exp3_drought
7,7,1,0.9479,0.0087,0.9708,0.8303,[],Mysuru,exp3_drought
8,8,1,0.9578,0.0087,0.9708,0.8705,[],Mysuru,exp3_drought
9,9,1,0.9658,0.0087,0.9708,0.9023,[],Mysuru,exp3_drought
10,10,1,0.948,0.0087,0.8774,0.924,[],Mysuru,exp3_drought
11,11,1,0.953,0.0087,0.8774,0.9435,[],Mysuru,exp3_drought
12,12,1,0.9575,0.0087,0.8774,0.9614,[],Mysuru,exp3_drought
13,1,2,0.9744,0.0087,0.9271,0.9792,[],Mysuru,exp3_drought
14,2,2,0.9777,0.0087,0.9271,0.9923,[],Mysuru,exp3_drought
15,3,2,0.9165,0.0085,0.7717,0.903,['drought'],Mysuru,exp3_drought
16,4,2,0.9251,0.0085,0.79,0.9195,['drought'],Mysuru,exp3_drought
17,5,2,0.9324,0.0085,0.8082,0.9307,['drought'],Mysuru,exp3_drought
18,6,2,0.9853,0.0032,0.9916,0.9535,['drought'],Mysuru,exp3_drought
19,7,2,0.9839,0.0087,0.9708,0.9743,[],Mysuru,exp3_drought
20,8,2,0.9883,0.0087,0.9708,0.992,[],Mysuru,exp3_drought
21,9,2,0.99,0.0087,0.9708,0.9987,[],Mysuru,exp3_drought
22,10,2,0.9667,0.0087,0.8774,0.9987,[],Mysuru,exp3_drought
23,11,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp3_drought
24,12,2,0.9668,0.0087,0.8774,0.9987,[],Mysuru,exp3_drought
1,1,1,0.9246,0.0095,0.97,0.7377,[],Mangaluru,exp3_drought
2,2,1,0.9335,0.0093,0.9697,0.7736,[],Mangaluru,exp3_drought
3,3,1,0.9343,0.0063,0.985,0.7583,['drought'],Mangaluru,exp3_drought
4,4,1,0.9436,0.0048,0.9863,0.7928,['drought'],Mangaluru,exp3_drought
5,5,1,0.9447,0.0051,0.9572,0.8266,['drought'],Mangaluru,exp3_drought
6,6,1,0.9524,0.004,0.9587,0.8548,[],Mangaluru,exp3_drought
7,7,1,0.9544,0.0087,0.9499,0.8763,[],Mangaluru,exp3_drought
8,8,1,0.9614,0.004,0.9563,0.8935,[],Mangaluru,exp3_drought
9,9,1,0.9651,0.004,0.9563,0.9083,[],Mangaluru,exp3_drought
10,10,1,0.9707,0.0094,0.9701,0.922,[],Mangaluru,exp3_drought
11,11,1,0.9739,0.0092,0.9702,0.9345,[],Mangaluru,exp3_drought
12,12,1,0.9767,0.0092,0.9702,0.946,[],Mangaluru,exp3_drought
13,1,2,0.9793,0.0095,0.97,0.9567,[],Mangaluru,exp3_drought
14,2,2,0.9817,0.0093,0.9697,0.9664,[],Mangaluru,exp3_drought
15,3,2,0.9806,0.0063,0.985,0.9436,['drought'],Mangaluru,exp3_drought
16,4,2,0.9841,0.0048,0.9863,0.9547,['drought'],Mangaluru,exp3_drought
17,5,2,0.9791,0.0051,0.9572,0.9644,['drought'],Mangaluru,exp3_drought
18,6,2,0.982,0.004,0.9587,0.9735,[],Mangaluru,exp3_drought
19,7,2,0.9807,0.0087,0.9499,0.9816,[],Mangaluru,exp3_drought
20,8,2,0.9853,0.004,0.9563,0.9888,[],Mangaluru,exp3_drought
21,9,2,0.9867,0.004,0.9563,0.9943,[],Mangaluru,exp3_drought
22,10,2,0.9896,0.0094,0.9701,0.9979,[],Mangaluru,exp3_drought
23,11,2,0.99,0.0092,0.9702,0.9992,[],Mangaluru,exp3_drought
24,12,2,0.9901,0.0092,0.9702,0.9995,[],Mangaluru,exp3_drought
1,1,1,0.9275,0.0087,0.9708,0.748,[],Hubballi-Dharwad,exp3_drought
2,2,1,0.9391,0.0087,0.9708,0.7942,[],Hubballi-Dharwad,exp3_drought
3,3,1,0.8354,0.0085,0.7027,0.6472,['drought'],Hubballi-Dharwad,exp3_drought
4,4,1,0.8392,0.0085,0.7157,0.6517,['drought'],Hubballi-Dharwad,exp3_drought
5,5,1,0.8475,0.0085,0.7417,0.6591,['drought'],Hubballi-Dharwad,exp3_drought
6,6,1,0.9229,0.0032,0.9915,0.7054,['drought'],Hubballi-Dharwad,exp3_drought
7,7,1,0.9345,0.0032,0.9915,0.7518,['drought'],Hubballi-Dharwad,exp3_drought
8,8,1,0.9396,0.0087,0.9708,0.7981,[],Hubballi-Dharwad,exp3_drought
9,9,1,0.9506,0.0087,0.9708,0.8424,[],Hubballi-Dharwad,exp3_drought
10,10,1,0.9601,0.0087,0.9708,0.8796,[],Hubballi-Dharwad,exp3_drought
11,11,1,0.9679,0.0087,0.9708,0.9097,[],Hubballi-Dharwad,exp3_drought
12,12,1,0.974,0.0087,0.9708,0.9342,[],Hubballi-Dharwad,exp3_drought
13,1,2,0.9796,0.0087,0.9708,0.9563,[],Hubballi-Dharwad,exp3_drought
