step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
1,1,1,0.819,0.0144,0.5977,0.6927,[],Bengaluru,exp4_economic
2,2,1,0.8206,0.0069,0.604,0.6853,[],Bengaluru,exp4_economic
3,3,1,0.7934,0.0068,0.5129,0.6673,[],Bengaluru,exp4_economic
4,4,1,0.721,0.0145,0.5074,0.3913,['economic_crisis'],Bengaluru,exp4_economic
5,5,1,0.7119,0.0154,0.5019,0.3626,['economic_crisis'],Bengaluru,exp4_economic
6,6,1,0.738,0.0211,0.6292,0.3461,['economic_crisis'],Bengaluru,exp4_economic
7,7,1,0.7353,0.0176,0.6315,0.3292,['economic_crisis'],Bengaluru,exp4_economic
8,8,1,0.7291,0.0209,0.6278,0.3104,['economic_crisis'],Bengaluru,exp4_economic
9,9,1,0.7253,0.0185,0.6291,0.2907,[],Bengaluru,exp4_economic
10,10,1,0.7077,0.004,0.5696,0.2652,[],Bengaluru,exp4_economic
11,11,1,0.6996,0.0039,0.5652,0.2371,[],Bengaluru,exp4_economic
12,12,1,0.6911,0.0052,0.5631,0.2067,[],Bengaluru,exp4_economic
13,1,2,0.6872,0.0124,0.5856,0.1758,[],Bengaluru,exp4_economic
14,2,2,0.6823,0.0052,0.5905,0.1443,[],Bengaluru,exp4_economic
15,3,2,0.6489,0.0052,0.5006,0.1003,[],Bengaluru,exp4_economic
16,4,2,0.6203,0.0126,0.494,0.0,['economic_crisis'],Bengaluru,exp4_economic
17,5,2,0.6184,0.0156,0.4899,0.0,['economic_crisis'],Bengaluru,exp4_economic
18,6,2,0.6483,0.0212,0.6153,0.0,['economic_crisis'],Bengaluru,exp4_economic
19,7,2,0.6499,0.018,0.6181,0.0,['economic_crisis'],Bengaluru,exp4_economic
20,8,2,0.6485,0.0212,0.6153,0.0,['economic_crisis'],Bengaluru,exp4_economic
21,9,2,0.6495,0.0189,0.6172,0.0,[],Bengaluru,exp4_economic
22,10,2,0.6388,0.0037,0.5591,0.0,[],Bengaluru,exp4_economic
23,11,2,0.6377,0.0051,0.5559,0.0,[],Bengaluru,exp4_economic
24,12,2,0.6371,0.0064,0.5549,0.0,[],Bengaluru,exp4_economic
1,1,1,0.9159,0.0087,0.9271,0.7452,[],Mysuru,exp4_economic
2,2,1,0.9268,0.0087,0.9271,0.7887,[],Mysuru,exp4_economic
3,3,1,0.8915,0.0086,0.7717,0.8031,[],Mysuru,exp4_economic
4,4,1,0.8576,0.0086,0.7717,0.6675,['economic_crisis'],Mysuru,exp4_economic
5,5,1,0.8611,0.0086,0.7717,0.6819,['economic_crisis'],Mysuru,exp4_economic
6,6,1,0.9224,0.0087,0.9708,0.7283,['economic_crisis'],Mysuru,exp4_economic
7,7,1,0.934,0.0087,0.9708,0.7747,['economic_crisis'],Mysuru,exp4_economic
8,8,1,0.9455,0.0087,0.9708,0.8207,[],Mysuru,exp4_economic
9,9,1,0.9557,0.0087,0.9708,0.8622,[],Mysuru,exp4_economic
10,10,1,0.9399,0.0087,0.8774,0.8918,[],Mysuru,exp4_economic
11,11,1,0.9461,0.0087,0.8774,0.9157,[],Mysuru,exp4_economic
12,12,1,0.9512,0.0087,0.8774,0.9361,[],Mysuru,exp4_economic
13,1,2,0.9687,0.0087,0.9271,0.9565,[],Mysuru,exp4_economic
14,2,2,0.9733,0.0087,0.9271,0.9748,[],Mysuru,exp4_economic
15,3,2,0.9345,0.0086,0.7717,0.9749,[],Mysuru,exp4_economic
16,4,2,0.9005,0.0086,0.7717,0.8392,['economic_crisis'],Mysuru,exp4_economic
17,5,2,0.904,0.0086,0.7717,0.8536,['economic_crisis'],Mysuru,exp4_economic
18,6,2,0.965,0.0087,0.9708,0.8989,['economic_crisis'],Mysuru,exp4_economic
19,7,2,0.9729,0.0087,0.9708,0.9306,['economic_crisis'],Mysuru,exp4_economic
20,8,2,0.9787,0.0087,0.9708,0.9535,[],Mysuru,exp4_economic
21,9,2,0.9838,0.0087,0.9708,0.9741,[],Mysuru,exp4_economic
22,10,2,0.964,0.0087,0.8774,0.9881,[],Mysuru,exp4_economic
23,11,2,0.9662,0.0087,0.8774,0.9961,[],Mysuru,exp4_economic
24,12,2,0.9668,0.0087,0.8774,0.9985,[],Mysuru,exp4_economic
1,1,1,0.9246,0.0095,0.97,0.7377,[],Mangaluru,exp4_economic
2,2,1,0.9335,0.0093,0.9697,0.7736,[],Mangaluru,exp4_economic
3,3,1,0.9408,0.0094,0.9633,0.8092,[],Mangaluru,exp4_economic
4,4,1,0.9117,0.007,0.9599,0.6942,['economic_crisis'],Mangaluru,exp4_economic
5,5,1,0.9202,0.0051,0.9572,0.7287,['economic_crisis'],Mangaluru,exp4_economic
6,6,1,0.9293,0.004,0.9587,0.7626,['economic_crisis'],Mangaluru,exp4_economic
7,7,1,0.9339,0.0087,0.9499,0.7943,['economic_crisis'],Mangaluru,exp4_economic
8,8,1,0.9441,0.004,0.9563,0.8241,[],Mangaluru,exp4_economic
9,9,1,0.9503,0.004,0.9563,0.8491,[],Mangaluru,exp4_economic
